CircRNA,MDA-MB-231,MCF-7,averange,Chromosome,CircStart,CircEnd,Strand,Spliced seq length,Best transcript,Gene Symbol
hsa_circ_0117958,5.942225,4.869567,,chr2,168278002,168346787,+,68785,ENST00000442316,-
hsa_circ_0117722,201.2636,160.4327,,chr2,15614190,15698758,-,1482,ENST00000441750,NBAS
hsa_circ_0052426,23.24234,208.2652,,chr2,1093881,1094096,+,115,ENST00000452177,SNTG2
hsa_circ_0118355,58.54417,51.61912,,chr2,190428309,190428951,-,642,ENST00000261024,SLC40A1
hsa_circ_0117160,957.0811,695.5036,,chr2,120640078,120709705,+,1347,ENST00000263708,PTPN4
hsa_circ_0120420,773.8723,200.3214,,chr2,55566599,55589584,-,1032,ENST00000336838,CCDC88A
hsa_circ_0054346,3814.618,1973.582,,chr2,44139570,44172556,-,1065,ENST00000260665,LRPPRC
hsa_circ_0119491,10055.02,11413.77,,chr2,242181874,242189395,-,797,ENST00000391975,HDLBP
hsa_circ_0054559,3034.134,2688.209,,chr2,54753508,54853371,+,1691,ENST00000356805,SPTBN1
hsa_circ_0117457,5.460762,4.61759,,chr2,141526781,141571375,-,549,ENST00000389484,LRP1B
hsa_circ_0053450,455.9873,945.5606,,chr2,32602655,32679010,+,4428,ENST00000421745,BIRC6
hsa_circ_0057245,157.22,169.4008,,chr2,182756471,182759422,+,2614,ENST00000480753,SSFA2
hsa_circ_0053990,12438.87,6197.832,,chr2,36704031,36726490,+,510,ENST00000280527,CRIM1
hsa_circ_0058593,264.262,176.4097,,chr2,231109702,231118132,+,588,ENST00000486687,SP140
hsa_circ_0118409,188.4093,31.56305,,chr2,191781465,191783921,-,2456,ENST00000320717,GLS
hsa-circRNA12714-24,2002.941,3054.471,,chr2,136623701,136630413,-,820,ENST00000264156,MCM6
hsa_circ_0057685,3720.909,1228.864,,chr2,200173482,200193633,-,567,ENST00000417098,SATB2
hsa_circ_0056415,993.979,1001.543,,chr2,128884934,128927964,+,1890,ENST00000438277,UGGT1
hsa_circ_0057481,238.6844,144.78,,chr2,190656515,190728954,+,2362,ENST00000441310,PMS1
hsa_circ_0057042,120.8039,65.99959,,chr2,172195693,172196064,-,371,ENST00000375258,METTL8
hsa-circRNA4374-2,2888.973,2109.9,,chr2,27890134,27890257,+,123,ENST00000326019,SLC4A1AP
hsa_circ_0120703,210.1566,137.1787,,chr2,62449346,62452549,+,3203,ENST00000301998,B3GNT2
hsa-circRNA12918-48,2998.943,1277.764,,chr2,230662405,230672580,-,1204,ENST00000283943,TRIP12
hsa-circRNA4606-12,354.2008,143.3673,,chr2,118579225,118579837,+,416,ENST00000263239,DDX18
hsa_circ_0120969,747.976,762.9749,,chr2,73827804,73898277,+,70473,ENST00000409009,ALMS1
hsa_circ_0121262,3358.144,2011.627,,chr2,98504514,98543950,-,172,ENST00000186436,TMEM131
hsa_circ_0118407,186.6857,97.38989,,chr2,191765289,191792208,+,820,ENST00000320717,GLS
hsa_circ_0120864,1355.693,1028.005,,chr2,70486491,70505006,+,18515,ENST00000422380,PCYOX1
hsa-circRNA4446-3,4817.721,1720.852,,chr2,58350235,58373609,+,639,ENST00000435505,VRK2
hsa_circ_0055240,2277.112,1172.493,,chr2,73716760,73718625,+,1865,ENST00000409009,ALMS1
hsa-circRNA4631-13,1190.234,176.0722,,chr2,131883325,131884359,+,256,ENST00000409158,PLEKHB2
hsa_circ_0054244,609.3055,374.6006,,chr2,42515366,42522656,+,367,ENST00000318522,EML4
hsa_circ_0056634,17.11183,39.19772,,chr2,141272221,141751704,-,5766,ENST00000389484,LRP1B
hsa_circ_0057617,147.2517,273.3567,,chr2,197872529,197889991,-,480,ENST00000424317,ANKRD44
hsa_circ_0120401,944.657,317.1309,,chr2,55528341,55536390,-,665,ENST00000336838,CCDC88A
hsa_circ_0121166,1423.553,2843.62,,chr2,8952572,8953465,-,893,ENST00000418530,KIDINS220
hsa-circRNA4426-9,489.7578,733.8213,,chr2,46062918,46070202,+,7284,ENST00000306156,PRKCE
hsa_circ_0053434,487.4633,271.0454,,chr2,32582095,32658872,+,3543,ENST00000421745,BIRC6
hsa_circ_0117654,1065.008,399.6577,,chr2,153001401,153006743,-,477,ENST00000263904,STAM2
hsa_circ_0119317,2462.505,740.8872,,chr2,231655586,231663612,+,453,ENST00000258418,CAB39
hsa_circ_0058050,406.5959,256.0162,,chr2,215632205,215657169,-,1353,ENST00000260947,BARD1
hsa_circ_0054960,506.4968,204.8603,,chr2,64208779,64211153,-,398,ENST00000409558,VPS54
hsa-circRNA12918-6,225.9107,66.89775,,chr2,230678585,230694004,-,632,ENST00000283943,TRIP12
hsa_circ_0054589,92.78721,127.9457,,chr2,55071183,55126919,+,2277,ENST00000356458,EML6
hsa_circ_0119137,8817.118,11347.76,,chr2,217629611,217696205,+,66594,ENST00000447289,-
hsa_circ_0005808,5064.547,8769.178,,chr2,69297778,69304620,+,346,ENST00000303714,ANTXR1
hsa_circ_0059108,680.9579,736.5197,,chr2,242592926,242598602,+,354,ENST00000405546,ATG4B
hsa_circ_0053065,1683.835,2616.092,,chr2,26455027,26462011,-,506,ENST00000380649,HADHA
hsa_circ_0058610,2732.839,341.7104,,chr2,231282305,231328865,+,1191,ENST00000264052,SP100
hsa_circ_0054906,794.9442,505.2212,,chr2,62104527,62110683,-,464,ENST00000394440,CCT4
hsa_circ_0057183,8738.491,2284.456,,chr2,178370233,178388533,+,380,ENST00000264167,AGPS
hsa_circ_0121180,180.3716,316.8554,,chr2,9083315,9127890,-,44575,ENST00000305997,MBOAT2
hsa_circ_0120824,813.5304,2865.394,,chr2,6969386,6970237,-,851,ENST00000366140,-
hsa_circ_0118363,14.72561,38.25502,,chr2,190560875,190609514,+,2210,ENST00000441800,ANKAR
hsa-circRNA4368-51,1526.306,866.8688,,chr2,27440744,27440884,+,140,ENST00000264705,CAD
hsa_circ_0119585,610.0002,325.3981,,chr2,24896234,24905997,+,276,ENST00000406961,NCOA1
hsa-circRNA4584-5,1494.565,1510.128,,chr2,111899889,111902097,+,112,ENST00000438054,BCL2L11
hsa_circ_0120439,1327.619,570.0156,,chr2,55761008,55762899,+,140,ENST00000339012,CCDC104
hsa_circ_0052665,3347.113,7968.243,,chr2,11864480,11935613,+,24104,ENST00000425416,LPIN1
hsa_circ_0055708,19.047,48.53659,,chr2,97541618,97586999,-,970,ENST00000417561,FAM178B
hsa_circ_0117303,393.2309,404.9637,,chr2,128900667,128903541,+,297,ENST00000438277,UGGT1
hsa_circ_0055470,2739.677,1217.708,,chr2,86292396,86325883,-,1776,ENST00000263857,POLR1A
hsa_circ_0119415,46.61903,44.77409,,chr2,239306099,239307880,+,1781,ENST00000391993,TRAF3IP1
hsa_circ_0120361,24083.29,17028.1,,chr2,54895501,54895710,-,209,ENST00000356805,SPTBN1
hsa_circ_0056981,40.4847,16.54922,,chr2,170751690,170789518,+,1558,ENST00000272793,UBR3
hsa_circ_0117725,6.084254,17.73612,,chr2,156398171,156445478,+,47308,---,-
hsa_circ_0057687,2389.242,544.2203,,chr2,200188525,200246543,-,1196,ENST00000417098,SATB2
hsa_circ_0057431,1078.385,2229.9,,chr2,189912934,189921752,-,864,ENST00000374866,COL5A2
hsa_circ_0057094,337.4691,667.5804,,chr2,173426947,173489823,+,30099,ENST00000543905,PDK1
hsa_circ_0004736,494.7433,581.5255,,chr2,24042616,24046439,-,448,ENST00000238789,ATAD2B
hsa_circ_0058902,14723.74,13075.34,,chr2,240048151,240111773,-,1424,ENST00000345617,HDAC4
hsa-circRNA12828-33,456.8428,323.7603,,chr2,198260779,198266854,-,1462,ENST00000335508,SF3B1
hsa_circ_0057796,15.48473,13.74949,,chr2,203168108,203168384,+,276,ENST00000264279,NOP58
hsa_circ_0053425,265.0906,127.7667,,chr2,32399131,32417485,+,395,ENST00000440718,SLC30A6
hsa-circRNA4517,1017.708,4130.6,,chr2,85531377,85531461,+,84,ENST00000282111,TCF7L1
hsa_circ_0054160,540.4925,350.3588,,chr2,39046018,39070352,-,1252,ENST00000295373,DHX57
hsa_circ_0056107,568.0912,326.793,,chr2,112619965,112630985,-,835,ENST00000341068,ANAPC1
hsa_circ_0117449,5.503047,4.654962,,chr2,141245185,141264487,-,845,ENST00000389484,LRP1B
hsa_circ_0118320,5.44376,4.606625,,chr2,186945374,186951097,-,5723,---,-
hsa_circ_0058200,95.9714,2809.808,,chr2,218677090,218677168,-,78,ENST00000171887,TNS1
hsa_circ_0117397,748.0078,1095.334,,chr2,136620176,136622733,-,293,ENST00000264156,MCM6
hsa-circRNA4390-457,274.2554,126.1084,,chr2,32693504,32718734,+,2688,ENST00000421745,BIRC6
hsa_circ_0117676,349.137,166.0514,,chr2,153481951,153485047,+,563,ENST00000288670,FMNL2
hsa_circ_0053755,1320.043,743.2407,,chr2,32703702,32750086,+,4687,ENST00000421745,BIRC6
hsa_circ_0053108,1944.72,2680.485,,chr2,27259354,27263066,+,1071,ENST00000321326,TMEM214
hsa_circ_0120324,923.8055,439.655,,chr2,54096512,54120936,-,1351,ENST00000404125,PSME4
hsa_circ_0117074,334.2505,183.3899,,chr2,114480680,114493435,-,591,ENST00000245680,SLC35F5
hsa_circ_0117333,106.038,117.9417,,chr2,135624111,135626611,-,2500,ENST00000392929,-
hsa-circRNA12748-4,9575.231,7587.567,,chr2,161141505,161143595,-,166,ENST00000474820,RBMS1
hsa_circ_0054748,2041.447,7579.719,,chr2,61441194,61463045,-,1716,ENST00000411912,USP34
hsa_circ_0118388,501.0905,274.7532,,chr2,190728468,190762289,+,33821,ENST00000441310,PMS1
hsa_circ_0007900,42.46608,34.39376,,chr2,100029192,100052403,-,959,ENST00000393445,REV1
hsa_circ_0058476,3223.972,1780.776,,chr2,224849468,224856717,-,397,ENST00000409304,SERPINE2
hsa_circ_0057892,233.3692,174.469,,chr2,206041168,206305396,+,1253,ENST00000406610,PARD3B
hsa-circRNA4742-2,491.7084,233.956,,chr2,198388347,198415110,+,486,ENST00000604458,HSPE1-MOB4
hsa-circRNA4419-4,27.46545,57.91352,,chr2,43953410,43986168,+,1530,ENST00000282406,PLEKHH2
hsa-circRNA12525-32,92.42157,104.4178,,chr2,63401804,63720074,-,2003,ENST00000272321,WDPCP
hsa-circRNA12463-2,2995.109,2242.931,,chr2,37121040,37132761,-,519,ENST00000263918,STRN
hsa_circ_0118362,37.7424,26.13532,,chr2,190560875,190585513,+,1147,ENST00000441800,ANKAR
hsa_circ_0053157,627.7398,227.7741,,chr2,27424533,27434401,-,2103,ENST00000310574,SLC5A6
hsa_circ_0053941,638.0359,73.2996,,chr2,33588456,33614373,+,564,ENST00000404816,LTBP1
hsa_circ_0054387,348.9135,101.1621,,chr2,44187679,44190845,-,213,ENST00000260665,LRPPRC
hsa_circ_0057664,1263.652,992.7511,,chr2,198351307,198360100,-,1757,ENST00000388968,HSPD1
hsa-circRNA12464-77,621.4246,230.5413,,chr2,37267471,37268435,-,350,ENST00000233099,HEATR5B
hsa_circ_0055670,4066.312,2351.866,,chr2,97024782,97030329,+,490,ENST00000240423,NCAPH
hsa_circ_0058228,4563.689,1785.135,,chr2,219144748,219146904,-,343,ENST00000258412,TMBIM1
hsa_circ_0054561,20749.46,15836.72,,chr2,54839297,54845330,+,463,ENST00000356805,SPTBN1
hsa_circ_0119754,2131.422,1681.447,,chr2,32312563,32314674,+,2111,ENST00000345662,SPAST
hsa_circ_0057852,555.6709,177.9944,,chr2,203974872,203991649,+,1299,ENST00000449802,NBEAL1
hsa_circ_0120779,2110.897,1512.941,,chr2,65318116,65331940,-,265,ENST00000409784,RAB1A
hsa_circ_0058671,11692.61,6449.883,,chr2,232321341,232326728,-,1570,ENST00000322723,NCL
hsa_circ_0120684,234.0068,134.0236,,chr2,61729130,61761038,-,414,ENST00000401558,XPO1
hsa_circ_0121255,517.2147,513.1185,,chr2,98430433,98449889,-,605,ENST00000186436,TMEM131
hsa_circ_0119576,60.1287,11.82884,,chr2,24807344,24896332,+,613,ENST00000406961,NCOA1
hsa-circRNA4332-11,287.6518,404.3178,,chr2,11943032,11960640,+,735,ENST00000449576,LPIN1
hsa_circ_0056133,138.8117,73.70502,,chr2,113174769,113181884,-,710,ENST00000302558,RGPD8
hsa_circ_0058951,511.1467,346.0045,,chr2,241508003,241518149,+,3018,---,ANKMY1
hsa-circRNA4478-9,891.1445,850.6948,,chr2,70092031,70098964,+,310,ENST00000282570,GMCL1
hsa_circ_0058519,4306.678,5374.907,,chr2,228356262,228416833,+,1442,ENST00000409979,AGFG1
hsa_circ_0054795,935.3976,470.2568,,chr2,61475645,61597714,-,5318,ENST00000398571,USP34
hsa-circRNA12595-3,1117.234,563.5229,,chr2,86397871,86398468,-,234,ENST00000410111,IMMT
hsa-circRNA4372-15,1353.968,1357.315,,chr2,27825329,27826174,+,267,ENST00000379717,ZNF512
hsa_circ_0052584,515.8708,304.1933,,chr2,10267213,10271546,+,2539,ENST00000360566,RRM2
hsa_circ_0058265,426.0977,341.3595,,chr2,219394678,219427536,-,1092,ENST00000258399,USP37
hsa-circRNA12761-6,20.86598,5.172372,,chr2,167085200,167133849,-,1689,ENST00000409672,SCN9A
hsa_circ_0004199,63.39837,41.69185,,chr2,45903222,45928630,+,25408,ENST00000476675,PRKCE
hsa_circ_0120943,199.3703,255.8226,,chr2,73188259,73198814,-,320,ENST00000474528,SFXN5
hsa-circRNA4390-368,2247.967,1052.985,,chr2,32703702,32712868,+,900,ENST00000421745,BIRC6
hsa_circ_0055020,868.0114,15.86083,,chr2,68717321,68765359,+,1064,ENST00000303795,APLF
hsa_circ_0052472,403.5427,934.5985,,chr2,3425651,3447662,+,366,ENST00000382110,TRAPPC12
hsa_circ_0057293,12312.99,6300.078,,chr2,183866680,183888644,-,495,ENST00000361354,NCKAP1
hsa_circ_0052446,1145.589,994.6303,,chr2,1668729,1670258,-,390,ENST00000252804,PXDN
hsa_circ_0119886,5760.376,2960.276,,chr2,36805739,36818154,-,723,ENST00000413938,FEZ2
hsa_circ_0117577,6.470641,59.09632,,chr2,149847523,149868197,+,1165,ENST00000435030,KIF5C
hsa_circ_0120822,970.2183,671.3315,,chr2,69642316,69659137,-,422,ENST00000410022,NFU1
hsa-circRNA12478-9,5.572799,7.661652,,chr2,40366540,40388004,-,376,ENST00000406785,SLC8A1
hsa_circ_0058461,2606.747,1258.814,,chr2,224749364,224749466,-,102,ENST00000233055,WDFY1
hsa-circRNA12641-3,681.3631,604.149,,chr2,97527315,97531666,-,1414,ENST00000305476,SEMA4C
hsa_circ_0118282,2761.114,1286.669,,chr2,183821189,183848110,-,1149,ENST00000361354,NCKAP1
hsa_circ_0056845,154.4585,42.05042,,chr2,160608912,160625084,+,1733,ENST00000409175,7-Mar
hsa_circ_0117764,542.2091,221.6945,,chr2,160128212,160136456,-,372,ENST00000359774,WDSUB1
hsa-circRNA4664-19,2315.783,1296.994,,chr2,159519408,159530512,+,916,ENST00000426248,PKP4
hsa_circ_0120865,2232.557,1837.273,,chr2,70502090,70502798,+,365,ENST00000505044,PCYOX1
hsa-circRNA4392-83,2917.74,3804.495,,chr2,33482509,33572577,+,1674,ENST00000402934,LTBP1
hsa-circRNA4338-5,91.01926,22.80348,,chr2,17941195,17947956,+,651,ENST00000317402,GEN1
hsa_circ_0116955,30.43273,10.71424,,chr2,10769732,10769887,-,155,ENST00000345985,NOL10
hsa_circ_0117574,41.5427,64.6848,,chr2,149838045,149840271,+,2226,ENST00000435030,KIF5C
hsa-circRNA4856-1,4402.076,6212.17,,chr2,236617822,236708166,+,794,ENST00000409457,AGAP1
hsa_circ_0055332,53.40616,147.0864,,chr2,74717370,74721691,+,2674,ENST00000489152,TTC31
hsa_circ_0052425,7.332235,34.5598,,chr2,1079203,1094096,+,253,ENST00000452177,SNTG2
hsa_circ_0055799,6.004918,4.964555,,chr2,99613723,99651902,-,1629,ENST00000393483,TSGA10
hsa_circ_0121003,28.07528,14.86168,,chr2,75893335,75894203,+,868,ENST00000358788,MRPL19
hsa-circRNA4590-5,60.40378,19.54772,,chr2,113304588,113331392,+,2348,ENST00000263331,POLR1B
hsa_circ_0052688,72.82679,103.6326,,chr2,15307031,15470889,-,3077,ENST00000441750,NBAS
hsa_circ_0055906,72.0905,22.96336,,chr2,101905434,101911643,-,403,ENST00000424632,RNF149
hsa_circ_0058272,4111.452,3711.599,,chr2,219445283,219447809,+,296,ENST00000273064,RQCD1
hsa_circ_0003937,1927.542,1514.021,,chr2,233675953,233677201,+,209,ENST00000373566,GIGYF2
hsa_circ_0058790,1724.795,3145.334,,chr2,236402732,236715975,+,1648,ENST00000409457,AGAP1
hsa_circ_0119577,63.24104,23.06626,,chr2,24807344,24905997,+,791,ENST00000406961,NCOA1
hsa_circ_0120777,6420.664,3784.385,,chr2,65312642,65357188,-,44546,ENST00000494188,RAB1A
hsa_circ_0053947,672.4875,812.2084,,chr2,36581891,36582124,-,233,ENST00000565283,-
hsa_circ_0056830,879.6703,1177.698,,chr2,160229555,160245996,-,1138,ENST00000392782,BAZ2B
hsa_circ_0054016,11261.51,4612.363,,chr2,36744469,36744685,+,216,ENST00000280527,CRIM1
hsa-circRNA12489-5,392.2216,397.0826,,chr2,44546144,44550550,-,2788,ENST00000425263,PREPL
hsa_circ_0118516,89.44777,1174.076,,chr2,197889919,197954756,-,676,ENST00000424317,ANKRD44
hsa_circ_0117665,110.636,22.70736,,chr2,153405534,153437563,+,594,ENST00000288670,FMNL2
hsa_circ_0057128,15201.21,7800.571,,chr2,174783320,174820960,-,1553,ENST00000455789,SP3
hsa_circ_0117325,208.1755,238.636,,chr2,135095829,135119979,+,735,ENST00000409645,MGAT5
hsa_circ_0121292,55.53718,4.733711,,chr2,99720429,99734222,-,966,ENST00000393483,TSGA10
hsa-circRNA12510-17,261.0253,94.29219,,chr2,55591085,55616022,-,322,ENST00000336838,CCDC88A
hsa_circ_0055284,155.0254,441.407,,chr2,74438325,74442424,+,1438,ENST00000394053,MTHFD2
hsa_circ_0057429,469.8761,1235.303,,chr2,189912934,189916951,-,486,ENST00000374866,COL5A2
hsa_circ_0119542,689.7536,156.3589,,chr2,24484429,24550984,-,2489,ENST00000361999,ITSN2
hsa_circ_0055245,5339.739,2644.685,,chr2,73786098,73786269,+,171,ENST00000409009,ALMS1
hsa_circ_0054514,108.025,69.52991,,chr2,48698225,48698506,+,191,ENST00000431614,PPP1R21
hsa_circ_0057340,454.1887,240.9744,,chr2,189248489,189348219,+,261,ENST00000409843,GULP1
hsa_circ_0116994,623.1385,588.3945,,chr2,109410995,109429383,+,647,ENST00000412964,CCDC138
hsa_circ_0054438,34.86071,35.82361,,chr2,46070138,46072897,+,2759,ENST00000467135,PRKCE
hsa_circ_0053747,2134.115,1159.148,,chr2,32703702,32715218,+,1138,ENST00000421745,BIRC6
hsa_circ_0117721,1228.293,1010.93,,chr2,15614190,15614390,-,200,ENST00000441750,NBAS
hsa_circ_0052715,215.8106,161.2282,,chr2,15415607,15493834,-,1793,ENST00000441750,NBAS
hsa_circ_0119702,4680.716,4501.952,,chr2,28634808,28634971,+,163,ENST00000379619,FOSL2
hsa_circ_0054126,1795.121,632.6617,,chr2,37516498,37518142,-,290,ENST00000379066,PRKD3
hsa_circ_0117463,59.75654,57.65379,,chr2,141597559,141643904,-,1443,ENST00000389484,LRP1B
hsa-circRNA4765-43,549.8755,201.8508,,chr2,204045104,204048111,+,241,ENST00000449802,NBEAL1
hsa_circ_0119134,487.3653,464.4893,,chr2,217426343,217426520,-,177,ENST00000446558,RPL37A
hsa_circ_0118179,181.1226,101.6156,,chr2,17889905,17912406,-,1364,ENST00000448223,SMC6
hsa_circ_0118771,184.3635,95.22672,,chr2,203986976,203996855,+,1132,ENST00000449802,NBEAL1
hsa-circRNA12419-20,1873.204,950.3966,,chr2,20497313,20507832,-,220,ENST00000338086,PUM2
hsa_circ_0120732,383.5729,327.9193,,chr2,63831826,63831967,-,141,ENST00000490935,WDPCP
hsa_circ_0119360,583.155,445.6384,,chr2,233721641,233721791,-,150,ENST00000373566,GIGYF2
hsa_circ_0058513,15645.43,16079.33,,chr2,228356262,228388641,+,373,ENST00000409979,AGFG1
hsa_circ_0120362,20.05035,26.56628,,chr2,54953087,54953939,-,852,ENST00000491655,EML6
hsa_circ_0055349,9344.946,5610.86,,chr2,74754597,74755616,-,437,ENST00000425118,AUP1
hsa_circ_0120773,1191.003,5007.296,,chr2,65231086,65237897,+,230,ENST00000493121,SLC1A4
hsa-circRNA12872-75,1113.317,12.57955,,chr2,216232585,216248907,-,1851,ENST00000421182,FN1
hsa_circ_0056274,188.8218,243.9361,,chr2,120831675,120833096,+,124,ENST00000263713,EPB41L5
hsa_circ_0058287,604.595,419.1962,,chr2,219513357,219515249,-,993,ENST00000449707,ZNF142
hsa-circRNA12748-17,5512.921,4336.287,,chr2,161141285,161143595,-,260,ENST00000474820,RBMS1
hsa_circ_0117268,184.1381,51.37433,,chr2,128087496,128088081,-,202,ENST00000409947,MAP3K2
hsa_circ_0057062,2545.481,1326.614,,chr2,172582127,172586363,+,1025,ENST00000340296,DYNC1I2
hsa-circRNA4383-18,818.0703,98.5278,,chr2,29344239,29390406,+,1738,ENST00000401605,CLIP4
hsa_circ_0057537,214.336,320.1175,,chr2,191899273,191922945,-,526,ENST00000358470,STAT4
hsa_circ_0119387,123.6199,136.5731,,chr2,237374147,237374353,-,206,ENST00000254653,IQCA1
hsa-circRNA4390-29,2526.542,1634.333,,chr2,32706387,32713781,+,687,ENST00000421745,BIRC6
hsa-circRNA4382-34,13584.84,6323.504,,chr2,29129325,29129447,+,122,ENST00000407426,WDR43
hsa-circRNA4827-6,5991.818,6128.017,,chr2,223752547,223765498,+,166,ENST00000357430,ACSL3
hsa_circ_0055638,2284.445,2307.913,,chr2,96942641,96949090,-,1411,ENST00000323853,SNRNP200
hsa_circ_0119237,874.0536,556.9099,,chr2,225346608,225379489,-,1651,ENST00000264414,CUL3
hsa_circ_0000984,11523.14,8490.47,,chr2,27656861,27657427,+,186,ENST00000233557,NRBP1
hsa-circRNA12636-32,620.1965,510.1113,,chr2,96943276,96943453,-,177,ENST00000323853,SNRNP200
hsa_circ_0058261,330.9535,203.2812,,chr2,219353026,219360673,-,309,ENST00000258399,USP37
hsa_circ_0058024,199.7238,3669.851,,chr2,211471454,211471665,+,211,ENST00000430249,CPS1
hsa_circ_0054102,347.3188,160.1299,,chr2,37362626,37374116,-,666,ENST00000233057,EIF2AK2
hsa_circ_0118778,60.30016,27.44181,,chr2,203997780,204037576,+,2599,ENST00000449802,NBEAL1
hsa_circ_0057630,994.3304,805.2586,,chr2,198256697,198262840,-,1110,ENST00000335508,SF3B1
hsa_circ_0054574,1759.31,988.8795,,chr2,54870119,54891828,+,2801,ENST00000356805,SPTBN1
hsa_circ_0120599,143.8134,179.8188,,chr2,61505299,61546462,-,2420,ENST00000398571,USP34
hsa_circ_0054710,545.7182,463.4045,,chr2,61330987,61345251,+,663,ENST00000453186,KIAA1841
hsa_circ_0053054,4861.793,6890.308,,chr2,26416445,26420646,-,493,ENST00000380649,HADHA
hsa_circ_0056112,1948.338,1276.607,,chr2,112625599,112636548,-,472,ENST00000341068,ANAPC1
hsa_circ_0121303,422.7045,105.3973,,chr2,9989501,9992293,+,2792,ENST00000263663,TAF1B
hsa_circ_0117417,9.547381,4.73735,,chr2,138400057,138425431,+,940,ENST00000409968,THSD7B
hsa_circ_0053424,592.866,225.376,,chr2,32399131,32400430,+,128,ENST00000440718,SLC30A6
hsa_circ_0057325,504.5263,248.9431,,chr2,187503135,187505694,+,110,ENST00000261023,ITGAV
hsa_circ_0052818,5713.734,6383.422,,chr2,20232410,20234176,-,729,ENST00000175091,LAPTM4A
hsa-circRNA12872-54,3600.672,475.6635,,chr2,216269111,216269378,-,267,ENST00000421182,FN1
hsa_circ_0058150,8598.494,553.0689,,chr2,216285395,216295575,-,1128,ENST00000421182,FN1
hsa_circ_0052461,1288.345,577.5609,,chr2,3341787,3341920,-,133,ENST00000398659,TSSC1
hsa_circ_0117482,5.409259,4.557658,,chr2,141945989,142012210,-,670,ENST00000389484,LRP1B
hsa-circRNA4547-12,3564.97,1993.997,,chr2,97019043,97025987,+,554,ENST00000240423,NCAPH
hsa_circ_0053363,372.0619,82.97553,,chr2,29344239,29368233,+,1036,ENST00000401605,CLIP4
hsa_circ_0116963,1097.012,794.9539,,chr2,10803084,10808849,-,213,ENST00000345985,NOL10
hsa_circ_0119901,1529.928,858.9767,,chr2,37229448,37268435,-,2621,ENST00000233099,HEATR5B
hsa-circRNA4771-3,82.11636,162.0153,,chr2,206580916,206631542,+,2189,ENST00000360409,NRP2
hsa_circ_0119613,1284.762,1135.787,,chr2,25650403,25656864,-,297,ENST00000496972,DTNB
hsa_circ_0057789,526.0526,148.1236,,chr2,203147073,203168384,+,1640,ENST00000264279,NOP58
hsa_circ_0057039,800.5148,280.323,,chr2,172182551,172188377,-,311,ENST00000375258,METTL8
hsa-circRNA4390-340,784.9017,331.9143,,chr2,32750530,32774548,+,1389,ENST00000421745,BIRC6
hsa_circ_0057920,2787.526,1751.372,,chr2,207013743,207014649,-,185,ENST00000233190,NDUFS1
hsa_circ_0057859,556.2738,1476.218,,chr2,203991546,204062114,+,3983,ENST00000449802,NBEAL1
hsa_circ_0120561,290.4289,138.9115,,chr2,61430274,61441829,-,1461,ENST00000398571,USP34
hsa_circ_0120862,2914.962,2914.848,,chr2,70463210,70475601,-,12391,ENST00000433529,TIA1
hsa_circ_0118726,72.43234,5.331636,,chr2,203693570,203693739,-,169,ENST00000392237,ICA1L
hsa_circ_0117290,299.7865,311.4351,,chr2,128865511,128885026,+,949,ENST00000375990,UGGT1
hsa_circ_0057505,15886.7,12992.52,,chr2,191513847,191514086,+,239,ENST00000409581,NAB1
hsa-circRNA12483-31,35.39156,9.098512,,chr2,43798845,43805746,-,1343,ENST00000405975,THADA
hsa_circ_0120802,824.2141,16.42993,,chr2,68729862,68753374,+,636,ENST00000303795,APLF
hsa-circRNA12856-36,1190.852,969.2447,,chr2,207008741,207014649,-,834,ENST00000233190,NDUFS1
hsa_circ_0120840,1655.327,1926.202,,chr2,70162482,70162597,+,115,ENST00000435990,MXD1
hsa_circ_0053402,228.2835,382.7885,,chr2,32248971,32264862,-,818,ENST00000414013,DPY30
hsa_circ_0055819,11.28458,76.99528,,chr2,99935486,99952860,-,1530,ENST00000264255,TXNDC9
hsa_circ_0053933,396.6251,544.42,,chr2,33525517,33540336,+,495,ENST00000404816,LTBP1
hsa_circ_0055986,2492.314,1114.582,,chr2,109347777,109352218,+,384,ENST00000283195,RANBP2
hsa_circ_0009008,309.2861,93.10343,,chr2,110325391,110343415,-,663,ENST00000356688,10-Sep
hsa_circ_0056623,8.748102,4.741827,,chr2,141004654,141747226,-,10680,ENST00000389484,LRP1B
hsa_circ_0058697,2192.268,1446.214,,chr2,232995328,232995429,+,101,ENST00000273009,DIS3L2
hsa_circ_0057074,2841.972,1603.432,,chr2,172803227,172809519,+,197,ENST00000264108,HAT1
hsa_circ_0120462,1886.017,713.2772,,chr2,55871771,55873621,-,304,ENST00000447944,PNPT1
hsa-circRNA4442-10,7868.663,5389.191,,chr2,54873064,54873612,+,372,ENST00000356805,SPTBN1
hsa-circRNA12520-82,354.4774,164.5233,,chr2,61546307,61571164,-,883,ENST00000398571,USP34
hsa_circ_0056768,125.1093,52.92276,,chr2,159165944,159201830,-,963,ENST00000283233,CCDC148
hsa_circ_0053352,3273.649,1542.521,,chr2,29140758,29164440,+,988,ENST00000407426,WDR43
hsa_circ_0118893,610.6159,338.7369,,chr2,206997668,207007555,-,566,ENST00000233190,NDUFS1
hsa_circ_0057828,149.4992,631.1202,,chr2,203764253,203776949,-,1088,ENST00000261015,WDR12
